timestamp,value
21 JUL,367734572
22 JUL,111988827
23 JUL,160393827
24 JUL,53024148
25 JUL,84186026
26 JUL,85942748
27 JUL,174222663
28 JUL,113349831
29 JUL,142484894
30 JUL,174712234
31 JUL,145458632
1 AUG,51792001
2 AUG,35765562
3 AUG,58667255
4 AUG,473290425
5 AUG,415726111
6 AUG,61720400
7 AUG,110151831
8 AUG,179495252
9 AUG,53288014
10 AUG,122522676
11 AUG,178874809
12 AUG,157953261
13 AUG,99280092
14 AUG,52002526
15 AUG,39026791
16 AUG,39115815
17 AUG,84239588
18 AUG,91274931
19 AUG,117484352
