timestamp,value
18 AUG,15066743
19 AUG,39636254
20 AUG,95416384
21 AUG,26674478
22 AUG,16036838
23 AUG,14698068
24 AUG,18373611
25 AUG,27718709
26 AUG,118621390
27 AUG,102216264
28 AUG,36729362
29 AUG,144546649
30 AUG,13559403
31 AUG,25343567
1 SEP,4571467
2 SEP,13638254
3 SEP,1574275
4 SEP,28262849
5 SEP,573129
6 SEP,6993396
7 SEP,1124644
8 SEP,26249038
9 SEP,25166426
10 SEP,21193730
11 SEP,83809322
12 SEP,7849498
13 SEP,24107898
14 SEP,37060417
15 SEP,100203210
16 SEP,14021154
